
🇨🇳央视超清,#genre#
CCTV13,http://223.110.230.17:6610/gitv/live1/G_CCTV-13-CQ/G_CCTV-13-CQ/
CCTV13,http://223.110.254.137:6610/cntv/live1/cctv-13/cctv-13.m3u8
CCTV13,http://39.135.138.60:18890/PLTV/ ... 21225638/index.m3u8
CCTV13,http://219.150.217.47:6610/PLTV1/280/index.m3u8?icpid=dxrm1
CCTV13,http://39.134.71.75/ott.js.china ... 21228224/index.m3u8
CCTV13,rtsp://183.252.166.199/PLTV/8888 ... 000002298296_0.smil
CCTV14,http://39.134.3.73:6610/000000001666/100000000100111014/1.m3u8
CCTV14,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV15,http://223.110.254.137:6610/cntv/live1/cctv-15/cctv-15.m3u8
CCTV15,http://39.134.3.73:6610/000000001666/100000000100111015/1.m3u8
CCTV16,http://39.134.3.73:6610/000000001666/100000000100111091/1.m3u8
CCTV16 4K,http://ott.js.chinamobile.com/PLTV/3/224/3221228127/index.m3u8
CCTV16,http://ott.js.chinamobile.com/PLTV/3/224/3221228112/index.m3u8
CCTV16,http://ott.js.chinamobile.com/PLTV/3/224/3221228144/index.m3u8
CCTV16,https://cctvalih5ca.v.myalicdn.com/live/cctv16_2/index.m3u8
CCTV16,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV16,http://223.110.244.77/ott.js.chi ... 21228144/index.m3u8
CCTV16,http://39.135.138.58:18890/PLTV/ ... 21226233/index.m3u8
CCTV17,http://39.134.3.73:6610/000000001666/100000000100111016/1.m3u8
风云音乐,http://42.176.185.28:9901/tsfile/live/1024_1.m3u8
风云足球,http://42.176.185.28:9901/tsfile/live/1017_1.m3u8
央视精品,http://42.176.185.28:9901/tsfile/live/1028_1.m3u8
风云剧场,http://42.176.185.28:9901/tsfile/live/1030_1.m3u8
世界地理,http://42.176.185.28:9901/tsfile/live/1037_1.m3u8

📡卫视超清,#genre#
东南卫视,http://223.110.243.162/ott.js.chinamobile.com/PLTV/3/224/3221227553/index.m3u8
东南卫视,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227670/index.m3u8
东方卫视,http://223.110.243.142/ott.js.chinamobile.com/PLTV/3/224/3221227597/index.m3u8
东方卫视,http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221227688/index.m3u8
东方卫视,http://223.110.245.146/ott.js.chinamobile.com/PLTV/3/224/3221227511/index.m3u8
天津卫视,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227382/index.m3u8
天津卫视,http://223.110.245.140/ott.js.chinamobile.com/PLTV/3/224/3221227212/index.m3u8
天津卫视,http://223.110.243.162/ott.js.chinamobile.com/PLTV/3/224/3221227633/index.m3u8
天津卫视,http://223.110.243.148/ott.js.chinamobile.com/PLTV/3/224/3221227756/index.m3u8
山东卫视,http://223.110.243.156/ott.js.chinamobile.com/PLTV/3/224/3221227621/index.m3u8
山东卫视,http://223.110.243.157/ott.js.chinamobile.com/PLTV/3/224/3221227671/index.m3u8
山东卫视,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227258/index.m3u8
广东卫视,http://223.110.243.162/ott.js.chinamobile.com/PLTV/3/224/3221227591/index.m3u8
广东卫视,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227445/index.m3u8
广东卫视,http://223.110.245.160/ott.js.chinamobile.com/PLTV/3/224/3221227476/index.m3u8
江苏卫视,http://223.110.245.152/ott.js.chinamobile.com/PLTV/3/224/3221227561/index.m3u8
浙江卫视,http://223.110.245.160/ott.js.chinamobile.com/PLTV/3/224/3221227393/index.m3u8
浙江卫视,http://223.110.243.162/ott.js.chinamobile.com/PLTV/3/224/3221227692/index.m3u8
浙江卫视,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227491/index.m3u8
深圳卫视,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227624/index.m3u8
深圳卫视,http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221227695/index.m3u8
深圳卫视,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227677/index.m3u8
湖北卫视,http://223.110.245.166/ott.js.chinamobile.com/PLTV/3/224/3221227377/index.m3u8
湖北卫视,http://223.110.243.167/ott.js.chinamobile.com/PLTV/3/224/3221227565/index.m3u8
湖北卫视,http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221227665/index.m3u8
湖南卫视,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227698/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
安徽卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225691/index.m3u8
安徽卫视,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227759/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8
安徽卫视,http://183.207.249.235/ott.js.chinamobile.com/PLTV/3/224/3221227498/index.m3u8
安徽卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225691/index.m3u8
安徽卫视,http://183.207.249.174/ott.js.chinamobile.com/PLTV/3/224/3221225634/index.m3u8
安徽卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225737/index.m3u8
安徽卫视,http://zbbf2.ahtv.cn/live/749.m3u8
安徽卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225691/index.m3u8
安徽卫视,http://183.207.249.136/ott.js.chinamobile.com/PLTV/3/224/3221227558/index.m3u8
安徽卫视,http://117.148.179.177/PLTV/88888888/224/3221230215/index.m3u8
安徽卫视,http://39.130.202.81:6610/gitv_live/AHWS/AHWS.m3u8
安徽卫视,http://39.130.202.81:6610/gitv_live/G_ANHUI-/G_ANHUI-.m3u8
安徽卫视,http://stream-shbu.bestvcdn.com:8080/live/program/live/ahwshd/4000000/mnf.m3u8
安徽卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/ahwshd/4000000/mnf.m3u8
安徽卫视,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227498/index.m3u8
安徽卫视,http://223.110.245.147/ott.js.chinamobile.com/PLTV/3/224/3221225634/index.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
湖南卫视,http://39.134.65.208/PLTV/88888888/224/3221225506/index.m3u8
湖南卫视,http://39.134.66.66/PLTV/88888888/224/3221225506/index.m3u8
湖南卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225704/index.m3u8
湖南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225745/index.m3u8
湖南卫视,http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221227698/index.m3u8
湖南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225490/index.m3u8?fmt=ts2hls
湖南卫视,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227698/index.m3u8
湖南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225704/index.m3u8
辽宁卫视,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227410/index.m3u8
重庆卫视,http://223.110.243.165/ott.js.chinamobile.com/PLTV/3/224/3221227550/index.m3u8
黑龙江卫视,http://223.110.245.160/ott.js.chinamobile.com/PLTV/3/224/3221227252/index.m3u8
黑龙江卫视,http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227323/index.m3u8
黑龙江卫视,http://223.110.243.142/ott.js.chinamobile.com/PLTV/3/224/3221227662/index.m3u8
黑龙江卫视,http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227638/index.m3u8


📺4K超清,#genre#
CCTV4K 14M2160HDR,http://223.110.236.8/ott.js.chinamobile.com/PLTV/3/224/3221228242/index.m3u8
CCTV16-4K 25M2160,http://223.110.235.9/ott.js.chinamobile.com/PLTV/3/224/3221228168/index.m3u8
CCTV16-4K 34M2160HDR,http://223.110.235.24/ott.js.chinamobile.com/PLTV/3/224/3221228127/index.m3u8
CCTV4k,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV4k,https://p.ggiptv.com/v/4k.m3u8
CCTV4k,http://ye23.win/iptv/4k.cctv.php
CCTV4k,http://223.110.236.8/ott.js.chin ... 21228242/index.m3u8
CCTV4k,http://ott.js.chinamobile.com/TVOD/3/224/3221228242/index.m3u8
SiTV欢笑剧场12M2160,http://223.110.235.27/ott.js.chinamobile.com/PLTV/3/224/3221227715/index.m3u8
纯享4K 16M2160,http://183.207.248.110/ott.js.chinamobile.com/PLTV/3/224/3221227506/index.m3u8
纯享4K 21M2160HDR,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221228165/index.m3u8
4K修复7M2160HEVC,http://223.110.236.19/ott.js.chinamobile.com/PLTV/3/224/3221228141/index.m3u8
电影1,http://117.148.179.159/PLTV/88888888/224/3221231679/index.m3u8 
电影2,http://117.148.179.162/PLTV/88888888/224/3221231727/index.m3u8 
电影3,http://117.148.179.160/PLTV/88888888/224/3221231763/index.m3u8
4K剧场,http://117.148.179.161/PLTV/88888888/224/3221231624/index.m3u8 
南方卫视,http://117.148.179.160/PLTV/88888888/224/3221231661/index.m3u8


🌲NewTV精选,#genre#
黑莓电竟FHD,http://39.134.67.226/PLTV/88888888/224/3221225559/index.m3u8

黑莓电影FHD,http://39.134.67.226/PLTV/88888888/224/3221225681/index.m3u8

NewTV金牌综艺FHD-02,http://39.134.66.66/PLTV/88888888/224/3221225525/index.m3u8
NewTV金牌综艺FHD-01,http://39.134.67.226/PLTV/88888888/224/3221225525/index.m3u8

NewTV超级综艺FHD,http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8

NewTV超级电视剧FHD-02,http://39.134.67.226/PLTV/88888888/224/3221225637/index.m3u8

NewTV超级电视剧FHD-01,http://39.134.66.66/PLTV/88888888/224/3221225637/index.m3u8

NewTV超级电影FHD,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8

NewTV超级体育FHD-02,http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8

NewTV超级体育FHD-01,http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8

NewTV精品纪录FHD-02,http://39.134.66.66/PLTV/88888888/224/3221225545/index.m3u8

NewTV精品纪录FHD-01,http://39.134.67.226/PLTV/88888888/224/3221225545/index.m3u8

NewTV电视购物FHD,http://39.134.66.66/PLTV/88888888/224/3221225536/index.m3u8

NewTV精品体育FHD,http://39.134.66.66/PLTV/88888888/224/3221225526/index.m3u8

NewTV爱情喜剧FHD,http://39.134.66.66/PLTV/88888888/224/3221225533/index.m3u8

NewTV炫舞未来FHD,http://39.134.66.66/PLTV/88888888/224/3221225646/index.m3u8

NewTV潮妈辣婆FHD-02,http://39.134.66.66/PLTV/88888888/224/3221225542/index.m3u8

NewTV潮妈辣婆FHD-01,http://39.134.67.226/PLTV/88888888/224/3221225542/index.m3u8

NewTV武博世界FHD,http://39.134.66.66/PLTV/88888888/224/3221225547/index.m3u8

NewTV家庭剧场FHD,http://39.134.67.226/PLTV/88888888/224/3221225538/index.m3u8
NewTV农业致富FHD,http://39.134.66.66/PLTV/88888888/224/3221225552/index.m3u8
NewTV中国功夫FHD,http://39.134.66.66/PLTV/88888888/224/3221225604/index.m3u8


🌳CIBN精选,#genre#
CIBN-动画乐园,http://211.94.219.178:18080/PLTV/68/224/3221226406/index.m3u8
CIBN-古装剧场,http://117.148.179.160/PLTV/88888888/224/3221231625/index.m3u8
CIBN-古装剧场,http://211.94.219.178:18080/PLTV/68/224/3221226400/index.m3u8
CIBN-微电影,http://211.94.219.178:18080/PLTV/68/224/3221226441/index.m3u8
CIBN-微电影,http://117.148.179.157/PLTV/88888888/224/3221231586/index.m3u8
CIBN-时尚生活,http://117.148.179.183/PLTV/88888888/224/3221231489/index.m3u8
CIBN-流金岁月,http://211.94.219.178:18080/PLTV/68/224/3221226425/index.m3u8
CIBN-流金岁月,http://117.148.179.158/PLTV/88888888/224/3221231664/index.m3u8
CIBN-真人秀,http://211.94.219.178:18080/PLTV/68/224/3221226416/index.m3u8
CIBN-纪录片,http://211.94.219.178:18080/PLTV/68/224/3221226437/index.m3u8
CIBN-纪录片,http://117.148.179.154/PLTV/88888888/224/3221231594/index.m3u8
CIBN-经典剧场,http://117.148.179.176/PLTV/88888888/224/3221231595/index.m3u8
CIBN-经典剧场,http://211.94.219.178:18080/PLTV/68/224/3221226402/index.m3u8
CIBN-综合,http://117.148.179.160/PLTV/88888888/224/3221231696/index.m3u8
CIBN-综合,http://211.94.219.178:18080/PLTV/68/224/3221226420/index.m3u8
CIBN-风尚运动,http://211.94.219.178:18080/PLTV/68/224/3221226429/index.m3u8
CIBN-骄阳剧场,http://211.94.219.178:18080/PLTV/68/224/3221226423/index.m3u8
CIBN-骄阳剧场,http://117.148.179.165/PLTV/88888888/224/3221231745/index.m3u8


🎄地方精选,#genre#
三沙卫视,http://pull2.ssws.tv/live/SswsTV20210803.m3u8
石河子综合台,http://124.88.144.73:1935/live/xwzh/playlist.m3u8 
石河子影视台,http://124.88.144.73:1935/live/jjsh/playlist.m3u8 
石河子生活台,http://124.88.144.73:1935/live/dywt/playlist.m3u8
湖南娱乐,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43027/index.m3u8
湖南电影,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43029/index.m3u8
湖州新闻综合,http://live.plus.hugd.com/xwzhpd/playlist.m3u8
湖州文化娱乐,http://live.plus.hugd.com/whylpd/playlist.m3u8
湖州公共民生,http://live1.plus.hugd.com/ggpd1/playlist.m3u8
湖北十堰新闻,https://p2bj.weizan.cn/351104/837056569960221505/live.m3u8
湖北十堰公共,https://p2bj.weizan.cn/351104/694292401376336037/live.m3u8
魏县影视,https://jwcdnqx.hebyun.com.cn/live/wxdst/1500k/tzwj_video.m3u8
四川影视HD,http://scgctvshow.sctv.com/hdlive/sctv5/1.m3u8
四川新闻HD,http://scgctvshow.sctv.com/hdlive/sctv4/1.m3u8
四川旅游HD,http://scgctvshow.sctv.com/hdlive/sctv2/1.m3u8
四川经济HD,http://scgctvshow.sctv.com/hdlive/sctv3/1.m3u8
四川公共HD,http://scgctvshow.sctv.com/hdlive/sctv9/1.m3u8
四川乡村HD,http://scgctvshow.sctv.com/hdlive/sctv9/1.m3u8
四川七套HD,http://scgctvshow.sctv.com/hdlive/sctv7/1.m3u8
洪江市高清,http://liveplay.rednet.cn/live/hongjiang_tv_ced5a7.m3u8
泸州新闻,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel106011/playlist.m3u8
泸州公共,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel102221/playlist.m3u8
泸州科教,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel103074/playlist.m3u8
黄河卫视1080P8m50fps超高清,http://223.13.2.170:9901/tsfile/live/1001_1.m3u8
山西经济1080P8m50fps超高清,http://223.13.2.170:9901/tsfile/live/1000_1.m3u8
山西影视1080P8m50fps超高清,http://223.13.2.170:9901/tsfile/live/1005_1.m3u8
山西公共1080P8m50fps超高清,http://223.13.2.170:9901/tsfile/live/1006_1.m3u8
峨眉电影,http://60.255.49.202/live/emdygqH265_4000.m3u8
CDTV1,http://v2.91kds.cn/b9/sccdtv.m3u8?fmt=hls&id=sccdtv1hd&auth=rinimabi
CDTV5,http://v2.91kds.cn/b9/sccdtv.m3u8?fmt=hls&id=sccdtv5hd&auth=rinimabi
浙江钱江,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江经视,http://yd-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江6套,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江新闻频道,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江少儿频道,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
浙江留学频道,http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8
浙江钱江,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江经视,http://yd-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江6套,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江新闻频道,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江少儿频道,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
浙江留学频道,http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8<
青海综合蓝光,http://lmt.scqstv.com/live1/live1.m3u8
青海都市蓝光,http://stream.qhbtv.com/qhds/sd/live.m3u8?_upt=f868bafe1594546577
青海生活 蓝光,http://stream.qhbtv.com/qhsh/sd/live.m3u8?_upt=ba357f031594546763
麻栗坡http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel18/playlist.m3u8
湖南娱乐,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43027/index.m3u8
湖南电影,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43029/index.m3u8
湖南电视剧,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel43030/index.m3u8
BTV文艺-高清,http://v.mp.haue.edu.cn/hls/btv2hd.m3u8
BTV科教-高清,http://v.mp.haue.edu.cn/hls/btv3hd.m3u8
BTV影视-高清,http://v.mp.haue.edu.cn/hls/btv4hd.m3u8
BTV财经-高清,http://v.mp.haue.edu.cn/hls/btv5hd.m3u8
辽宁教育青少FHD,http://39.135.129.164/PLTV/88888888/224/3221226473/1.m3u8
云南楚雄公共台,http://hwzbout.yunshicloud.com/gbqei5/12661u.m3u8
云南丽江公共台,http://hwzbout.yunshicloud.com/mj1170/06qk26.m3u8
云南麻栗坡电视,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel18/playlist.m3u8
云南普洱综合台,http://hwzbout.yunshicloud.com/701aec/orx377.m3u8
云南西双版纳二,http://file.xsbnrtv.cn/vms/videos/nmip-media/channellive/channel3/playlist.m3u8
云南西双版纳一,http://file.xsbnrtv.cn/vms/videos/nmip-media/channellive/channel1/playlist.m3u8
陕西卫视,http://livepull.sxiptv.cn/live/shanxiweishihd.m3u8?txSecret=2c8f252eeb8e15cb0eea8e157c84e6ec&txTime=66666666
CCTV16,http://livepull.sxiptv.cn/live/CCTV16.m3u8?txSecret=eb9c76cfe79581d77642610a4445e33a&txTime=66666666
圆导视,http://livepull.sxiptv.cn/live/yuandiandaoshilive.m3u8?txSecret=91df35b9bc20be8aa1606bead38ea99d&txTime=66666666
陕西新闻资讯,http://livepull.sxiptv.cn/live/shanxi1taohd.m3u8?txSecret=1d0dd5b982a07bd19b396912a20cf491&txTime=66666666
陕西都市青春,http://livepull.sxiptv.cn/live/shanxi2taohd.m3u8?txSecret=056af01ddaa7bf9ded03eb3a6056c3c9&txTime=66666666
陕西体育休闲,http://livepull.sxiptv.cn/live/shanxi7taohd.m3u8?txSecret=28b4bac8011c49911ed1b05d5b99b615&txTime=66666666
海南卫视,http://153.0.112.77:9901/tsfile/live/1109_1.m3u8
三沙卫视,http://153.0.112.77:9901/tsfile/live/1110_1.m3u8
海南经济,http://153.0.112.77:9901/tsfile/live/1111_1.m3u8
海南公共,http://153.0.112.77:9901/tsfile/live/1112_1.m3u8
海南文旅,http://153.0.112.77:9901/tsfile/live/1113_1.m3u8
海南少儿,http://153.0.112.77:9901/tsfile/live/1114_1.m3u8
海南新闻,http://153.0.112.77:9901/tsfile/live/1115_1.m3u8
三亚1台,http://153.0.112.77:9901/tsfile/live/1091_1.m3u8
海口1台,http://153.0.112.77:9901/tsfile/live/1009_1.m3u8
江苏体育·休闲FHD,http://114.228.15.158:9901/tsfile/live/0107_1.m3u8
江苏城市FHD,http://114.228.15.158:9901/tsfile/live/0137_1.m3u8
江苏教育FHD,http://114.228.15.158:9901/tsfile/live/0138_1.m3u8
江苏综艺FHD,http://114.228.15.158:9901/tsfile/live/1009_1.m3u8
优漫卡通FHD,http://114.228.15.158:9901/tsfile/live/1004_1.m3u8
东方影视,http://219.151.31.38/liveplay-kk.rtxapp.com/live/program/live/dsjpdhd/4000000/mnf.m3u8
五星体育,http://219.151.31.38/liveplay-kk.rtxapp.com/live/program/live/ssty/2300000/mnf.m3u8
劲爆体育,http://219.151.31.38/liveplay-kk.rtxapp.com/live/program/live/jbtyhd/4000000/mnf.m3u8
纪实人文,http://219.151.31.38/liveplay-kk.rtxapp.com/live/program/live/jspdhd/4000000/mnf.m3u8
内蒙古经济生活,http://live10.m2oplus.nmtv.cn/jjsh/hd/live.m3u8
内蒙古内蒙古少儿,http://live11.m2oplus.nmtv.cn/sepd/hd/live.m3u8
内蒙古新闻新闻资讯,http://live10.m2oplus.nmtv.cn/xwzh/hd/live.m3u8
内蒙古农牧频道,http://live11.m2oplus.nmtv.cn/nmpd/hd/live.m3u8
内蒙古蒙古语卫视,http://live9.m2oplus.nmtv.cn/nmgmgyws/hd/live.m3u8
内蒙古蒙古语文化,http://live9.m2oplus.nmtv.cn/nmgmgywh/hd/live.m3u8
内蒙古文体娱乐,http://live10.m2oplus.nmtv.cn/wtyl/hd/live.m3u8
内蒙古卫视,http://live9.m2oplus.nmtv.cn/nmgws/hd/live.m3u8
玛纳斯综合,http://218.84.127.245:1026/hls/main1/playlist.m3u8
新星综合,http://test5.btzx.com.cn:80/live/13TV.stream/playlist.m3u8
滨海TV-1,http://60.30.52.41:80/live/bhtv1/playlist.m3u8
滨海TV-2,http://60.30.52.41:80/live/bhtv2/playlist.m3u8
滨海TV-3,http://60.30.52.41:80/live/bhtv3/playlist.m3u8
宁河新闻频道,http://wshls.live.migucloud.com:80/live/RQXD0636_C0/playlist.m3u8
肥城,https://jsylivealone302.iqilu.com/feicheng/feicheng_tv02/index.m3u8#https://livealone302.iqilu.com/feicheng/feicheng_tv02/index.m3u8
肥城综合频道,https://jsylivealone302.iqilu.com/feicheng/feicheng_tv01/index.m3u8#https://livealone302.iqilu.com/feicheng/feicheng_tv01/index.m3u8
睢宁综合,http://ott.js.chinamobile.com/TVOD/3/224/3221227706/index.m3u8
睢宁生活,http://ott.js.chinamobile.com/TVOD/3/224/3221227701/index.m3u8
睢宁资讯,http://ott.js.chinamobile.com/TVOD/3/224/3221227712/index.m3u8
睢宁三农,http://ott.js.chinamobile.com/TVOD/3/224/3221227709/index.m3u8


📽️电影精选,#genre#
徐州影视,http://183.207.248.15/PLTV/3/224/3221225949/index.m3u8
电影1,http://117.148.179.159/PLTV/88888888/224/3221231679/index.m3u8 
电影2,http://117.148.179.162/PLTV/88888888/224/3221231727/index.m3u8 
电影3,http://117.148.179.160/PLTV/88888888/224/3221231763/index.m3u8
电影4HD,http://117.148.179.139/PLTV/88888888/224/3221231640/index.m3u8
电影5HD,http://117.148.179.139/PLTV/88888888/224/3221231643/index.m3u8
电影6HD,http://117.148.179.139/PLTV/88888888/224/3221231645/index.m3u8
电影7HD,http://117.148.179.139/PLTV/88888888/224/3221231652/index.m3u8
蓝光电影,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8 
石榴音乐,http://61.241.131.96/txdirect.hls.huya.com/src/1199512344405-1199512344405-5224693802798678016-2399024812266-10057-A-0-1.m3u8
国外影院,http://111.6.242.36/txpcdn.liveplay.egame.qq.com/live/3954_382971876.m3u8
蓝光电影,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8 
银河爆笑喜剧,http://111.63.77.77/gitv_live/GITV-HB-1/GITV-HB-1.m3u8?p=GITV&area=HBYD
